date	site_name	energy_used	reactive_energy_used	demand	alarms
Sun 22 Feb 2015 00:30	MP00106349	2.484	0.15	4.977	Access login
Sun 22 Feb 2015 01:00	MP00106349	3.15	0.444	6.362	
Sun 22 Feb 2015 01:30	MP00106349	2.916	0.486	5.912	
Sun 22 Feb 2015 02:00	MP00106349	2.604	0.222	5.227	
Sun 22 Feb 2015 02:30	MP00106349	2.352	0.156	4.714	
Sun 22 Feb 2015 03:00	MP00106349	2.364	0.21	4.747	
Sun 22 Feb 2015 03:30	MP00106349	2.592	0.444	5.26	
Sun 22 Feb 2015 04:00	MP00106349	2.604	0.474	5.294	
Sun 22 Feb 2015 04:30	MP00106349	2.49	0.342	5.027	
Sun 22 Feb 2015 05:00	MP00106349	2.658	0.162	5.326	
Sun 22 Feb 2015 05:30	MP00106349	2.364	0.138	4.736	
Sun 22 Feb 2015 06:00	MP00106349	2.346	0.186	4.707	
Sun 22 Feb 2015 06:30	MP00106349	2.574	0.402	5.21	
Sun 22 Feb 2015 07:00	MP00106349	2.166	0.126	4.339	
Sun 22 Feb 2015 07:30	MP00106349	1.884	0.006	3.768	
Sun 22 Feb 2015 08:00	MP00106349	1.818	0.006	3.636	
Sun 22 Feb 2015 08:30	MP00106349	2.52	0.042	5.041	
Sun 22 Feb 2015 09:00	MP00106349	1.998	0.06	3.998	
Sun 22 Feb 2015 09:30	MP00106349	1.908	0.018	3.816	
Sun 22 Feb 2015 10:00	MP00106349	2.028	0.042	4.057	
Sun 22 Feb 2015 10:30	MP00106349	2.19	0.024	4.38	
Sun 22 Feb 2015 11:00	MP00106349	2.142	0.078	4.287	
Sun 22 Feb 2015 11:30	MP00106349	2.196	0.156	4.403	
Sun 22 Feb 2015 12:00	MP00106349	2.55	0.174	5.112	
Sun 22 Feb 2015 12:30	MP00106349	2.076	0.06	4.154	
Sun 22 Feb 2015 13:00	MP00106349	2.292	0.18	4.598	
Sun 22 Feb 2015 13:30	MP00106349	2.622	0.132	5.251	
Sun 22 Feb 2015 14:00	MP00106349	2.364	0.234	4.751	Log read
Sun 22 Feb 2015 14:30	MP00106349	2.478	0.294	4.991	
Sun 22 Feb 2015 15:00	MP00106349	2.316	0.12	4.638	
Sun 22 Feb 2015 15:30	MP00106349	2.298	0.072	4.598	
Sun 22 Feb 2015 16:00	MP00106349	2.304	0.114	4.614	
Sun 22 Feb 2015 16:30	MP00106349	2.376	0.276	4.784	
Sun 22 Feb 2015 17:00	MP00106349	2.994	0.354	6.03	
Sun 22 Feb 2015 17:30	MP00106349	2.298	0.216	4.616	
Sun 22 Feb 2015 18:00	MP00106349	2.148	0.084	4.299	
Sun 22 Feb 2015 18:30	MP00106349	2.166	0.12	4.339	
Sun 22 Feb 2015 19:00	MP00106349	2.172	0.102	4.349	
Sun 22 Feb 2015 19:30	MP00106349	2.334	0.288	4.703	
Sun 22 Feb 2015 20:00	MP00106349	2.316	0.306	4.672	
Sun 22 Feb 2015 20:30	MP00106349	2.196	0.192	4.409	
Sun 22 Feb 2015 21:00	MP00106349	2.916	0.336	5.871	
Sun 22 Feb 2015 21:30	MP00106349	2.538	0.342	5.122	
Sun 22 Feb 2015 22:00	MP00106349	2.532	0.342	5.11	
Sun 22 Feb 2015 22:30	MP00106349	3.27	0.438	6.598	
Sun 22 Feb 2015 23:00	MP00106349	4.116	0.132	8.236	
Sun 22 Feb 2015 23:30	MP00106349	3.984	0.036	7.968	
Mon 23 Feb 2015 00:00	MP00106349	7.11	0.018	14.22	Clock Reset
Mon 23 Feb 2015 00:30	MP00106349	10.65	0	21.3	
Mon 23 Feb 2015 01:00	MP00106349	10.248	0	20.496	
Mon 23 Feb 2015 01:30	MP00106349	10.41	0	20.82	
Mon 23 Feb 2015 02:00	MP00106349	10.206	0	20.412	
Mon 23 Feb 2015 02:30	MP00106349	10.11	0	20.22	
Mon 23 Feb 2015 03:00	MP00106349	10.122	0	20.244	
Mon 23 Feb 2015 03:30	MP00106349	10.146	0	20.292	
Mon 23 Feb 2015 04:00	MP00106349	10.734	0	21.468	
Mon 23 Feb 2015 04:30	MP00106349	10.536	0	21.072	
Mon 23 Feb 2015 05:00	MP00106349	10.524	0	21.048	
Mon 23 Feb 2015 05:30	MP00106349	10.686	0	21.372	
Mon 23 Feb 2015 06:00	MP00106349	12.132	0.048	24.264	
Mon 23 Feb 2015 06:30	MP00106349	12.186	0.24	24.377	
Mon 23 Feb 2015 07:00	MP00106349	12.912	0.27	25.83	
Mon 23 Feb 2015 07:30	MP00106349	11.118	0.09	22.237	
Mon 23 Feb 2015 08:00	MP00106349	12.102	0.174	24.207	
Mon 23 Feb 2015 08:30	MP00106349	23.502	7.926	49.605	
Mon 23 Feb 2015 09:00	MP00106349	23.094	6.942	48.23	
Mon 23 Feb 2015 09:30	MP00106349	20.952	5.634	43.393	
Mon 23 Feb 2015 10:00	MP00106349	20.664	5.778	42.913	
Mon 23 Feb 2015 10:30	MP00106349	20.91	5.436	43.21	
Mon 23 Feb 2015 11:00	MP00106349	20.916	5.472	43.24	
Mon 23 Feb 2015 11:30	MP00106349	23.55	6.108	48.658	
Mon 23 Feb 2015 12:00	MP00106349	20.814	5.484	43.049	
Mon 23 Feb 2015 12:30	MP00106349	22.596	5.682	46.599	
Mon 23 Feb 2015 13:00	MP00106349	21.396	5.424	44.146	
Mon 23 Feb 2015 13:30	MP00106349	21.276	5.61	44.006	Log pointers adjustment
Mon 23 Feb 2015 14:00	MP00106349	18.33	5.928	38.529	
Mon 23 Feb 2015 14:30	MP00106349	18.48	5.646	38.646	
Mon 23 Feb 2015 15:00	MP00106349	18.612	5.31	38.709	
Mon 23 Feb 2015 15:30	MP00106349	19.884	5.46	41.24	
Mon 23 Feb 2015 16:00	MP00106349	19.398	5.844	40.518	
Mon 23 Feb 2015 16:30	MP00106349	12.972	1.938	26.232	
Mon 23 Feb 2015 17:00	MP00106349	11.388	1.188	22.9	
Mon 23 Feb 2015 17:30	MP00106349	11.73	1.596	23.676	
Mon 23 Feb 2015 18:00	MP00106349	11.016	0.93	22.11	
Mon 23 Feb 2015 18:30	MP00106349	7.176	0.27	14.362	
Mon 23 Feb 2015 19:00	MP00106349	5.826	0.09	11.653	
Mon 23 Feb 2015 19:30	MP00106349	5.88	0.012	11.76	
Mon 23 Feb 2015 20:00	MP00106349	4.416	0	8.832	
Mon 23 Feb 2015 20:30	MP00106349	2.28	0.12	4.566	
Mon 23 Feb 2015 21:00	MP00106349	2.748	0.468	5.575	
Mon 23 Feb 2015 21:30	MP00106349	2.646	0.342	5.336	
Mon 23 Feb 2015 22:00	MP00106349	2.538	0.228	5.096	Settings change
Mon 23 Feb 2015 22:30	MP00106349	7.326	0.066	14.653	Clock Reset
Mon 23 Feb 2015 23:00	MP00106349	10.326	0	20.652	
Mon 23 Feb 2015 23:30	MP00106349	10.932	0	21.864	
Tue 24 Feb 2015 00:00	MP00106349	10.494	0	20.988	
Tue 24 Feb 2015 00:30	MP00106349	10.32	0	20.64	
Tue 24 Feb 2015 01:00	MP00106349	10.458	0	20.916	
Tue 24 Feb 2015 01:30	MP00106349	10.692	0	21.384	
Tue 24 Feb 2015 02:00	MP00106349	10.338	0	20.676	
Tue 24 Feb 2015 02:30	MP00106349	10.614	0	21.228	
Tue 24 Feb 2015 03:00	MP00106349	11.514	0	23.028	
Tue 24 Feb 2015 03:30	MP00106349	10.938	0	21.876	
Tue 24 Feb 2015 04:00	MP00106349	10.71	0	21.42	
Tue 24 Feb 2015 04:30	MP00106349	11.088	0	22.176	
Tue 24 Feb 2015 05:00	MP00106349	11.058	0.012	22.116	
Tue 24 Feb 2015 05:30	MP00106349	11.556	0.03	23.112	
Tue 24 Feb 2015 06:00	MP00106349	12.99	0.042	25.98	
Tue 24 Feb 2015 06:30	MP00106349	12.984	0.102	25.969	
Tue 24 Feb 2015 07:00	MP00106349	12.99	0.252	25.985	
Tue 24 Feb 2015 07:30	MP00106349	12.45	0.276	24.906	
Tue 24 Feb 2015 08:00	MP00106349	12.102	0.45	24.221	
Tue 24 Feb 2015 08:30	MP00106349	23.088	7.662	48.652	
Tue 24 Feb 2015 09:00	MP00106349	20.364	5.322	42.096	
Tue 24 Feb 2015 09:30	MP00106349	21.798	5.772	45.099	
Tue 24 Feb 2015 10:00	MP00106349	20.544	5.79	42.689	
Tue 24 Feb 2015 10:30	MP00106349	21.456	5.988	44.552	
Tue 24 Feb 2015 11:00	MP00106349	20.25	5.448	41.94	
Tue 24 Feb 2015 11:30	MP00106349	19.446	5.442	40.386	Log read
Tue 24 Feb 2015 12:00	MP00106349	20.412	5.868	42.477	Log read
Tue 24 Feb 2015 12:30	MP00106349	18.582	6.12	39.128	
Tue 24 Feb 2015 13:00	MP00106349	17.292	5.928	36.56	
Tue 24 Feb 2015 13:30	MP00106349	14.43	5.82	31.119	
Tue 24 Feb 2015 14:00	MP00106349	14.022	5.856	30.391	
Tue 24 Feb 2015 14:30	MP00106349	14.994	6.138	32.403	
Tue 24 Feb 2015 15:00	MP00106349	15.168	6.138	32.726	
Tue 24 Feb 2015 15:30	MP00106349	16.578	6.348	35.504	
Tue 24 Feb 2015 16:00	MP00106349	15.978	6.234	34.302	
Tue 24 Feb 2015 16:30	MP00106349	9.744	1.95	19.874	
Tue 24 Feb 2015 17:00	MP00106349	10.248	1.566	20.734	
Tue 24 Feb 2015 17:30	MP00106349	10.188	1.614	20.63	
Tue 24 Feb 2015 18:00	MP00106349	9.948	1.548	20.135	
Tue 24 Feb 2015 18:30	MP00106349	6.6	0.564	13.248	
Tue 24 Feb 2015 19:00	MP00106349	5.976	0.192	11.958	Settings change
Tue 24 Feb 2015 19:30	MP00106349	5.43	0.306	10.877	
Tue 24 Feb 2015 20:00	MP00106349	3.348	0.336	6.73	
Tue 24 Feb 2015 20:30	MP00106349	2.838	0.372	5.725	
Tue 24 Feb 2015 21:00	MP00106349	3.288	0.372	6.618	
Tue 24 Feb 2015 21:30	MP00106349	3.228	0.51	6.536	
Tue 24 Feb 2015 22:00	MP00106349	2.856	0.3	5.743	
Tue 24 Feb 2015 22:30	MP00106349	7.038	0.132	14.078	
Tue 24 Feb 2015 23:00	MP00106349	10.83	0.006	21.66	
Tue 24 Feb 2015 23:30	MP00106349	11.124	0	22.248	
Wed 25 Feb 2015 00:00	MP00106349	10.596	0	21.192	
Wed 25 Feb 2015 00:30	MP00106349	10.746	0	21.492	
Wed 25 Feb 2015 01:00	MP00106349	10.848	0	21.696	
Wed 25 Feb 2015 01:30	MP00106349	10.476	0	20.952	
Wed 25 Feb 2015 02:00	MP00106349	10.836	0.012	21.672	
Wed 25 Feb 2015 02:30	MP00106349	11.61	0.006	23.22	
Wed 25 Feb 2015 03:00	MP00106349	11.022	0	22.044	
Wed 25 Feb 2015 03:30	MP00106349	10.428	0	20.856	
Wed 25 Feb 2015 04:00	MP00106349	10.254	0	20.508	
Wed 25 Feb 2015 04:30	MP00106349	11.322	0.012	22.644	
Wed 25 Feb 2015 05:00	MP00106349	11.238	0.006	22.476	
Wed 25 Feb 2015 05:30	MP00106349	10.746	0	21.492	
Wed 25 Feb 2015 06:00	MP00106349	11.334	0.018	22.668	
Wed 25 Feb 2015 06:30	MP00106349	12.264	0.03	24.528	
Wed 25 Feb 2015 07:00	MP00106349	12.132	0.048	24.264	
Wed 25 Feb 2015 07:30	MP00106349	11.82	0.174	23.643	
Wed 25 Feb 2015 08:00	MP00106349	11.46	0.126	22.921	
Wed 25 Feb 2015 08:30	MP00106349	18.612	4.758	38.421	
Wed 25 Feb 2015 09:00	MP00106349	20.01	5.112	41.305	
Wed 25 Feb 2015 09:30	MP00106349	20.928	5.688	43.374	
Wed 25 Feb 2015 10:00	MP00106349	21.198	5.562	43.831	
Wed 25 Feb 2015 10:30	MP00106349	21.888	5.91	45.344	
Wed 25 Feb 2015 11:00	MP00106349	20.868	5.574	43.199	
Wed 25 Feb 2015 11:30	MP00106349	20.622	5.586	42.73	
Wed 25 Feb 2015 12:00	MP00106349	20.454	5.712	42.473	
Wed 25 Feb 2015 12:30	MP00106349	20.694	5.7	42.929	
Wed 25 Feb 2015 13:00	MP00106349	18.558	6.282	39.185	
Wed 25 Feb 2015 13:30	MP00106349	18.762	6.09	39.451	
Wed 25 Feb 2015 14:00	MP00106349	17.88	6	37.72	
Wed 25 Feb 2015 14:30	MP00106349	17.886	5.922	37.682	
Wed 25 Feb 2015 15:00	MP00106349	17.502	5.694	36.81	
Wed 25 Feb 2015 15:30	MP00106349	17.604	5.898	37.132	
Wed 25 Feb 2015 16:00	MP00106349	17.916	5.724	37.616	
Wed 25 Feb 2015 16:30	MP00106349	11.748	2.004	23.835	
Wed 25 Feb 2015 17:00	MP00106349	10.116	1.092	20.35	Log pointers adjustment
Wed 25 Feb 2015 17:30	MP00106349	10.302	1.608	20.853	
Wed 25 Feb 2015 18:00	MP00106349	9.774	1.548	19.792	
Wed 25 Feb 2015 18:30	MP00106349	6.924	0.492	13.883	
Wed 25 Feb 2015 19:00	MP00106349	6.81	0.402	13.644	
Wed 25 Feb 2015 19:30	MP00106349	5.508	0.426	11.049	
Wed 25 Feb 2015 20:00	MP00106349	3.678	0.384	7.396	
Wed 25 Feb 2015 20:30	MP00106349	3.732	0.21	7.476	
Wed 25 Feb 2015 21:00	MP00106349	4.308	0.444	8.662	
Wed 25 Feb 2015 21:30	MP00106349	4.152	0.462	8.355	
Wed 25 Feb 2015 22:00	MP00106349	4.47	0.462	8.988	
Wed 25 Feb 2015 22:30	MP00106349	7.794	0.258	15.597	
Wed 25 Feb 2015 23:00	MP00106349	10.308	0.012	20.616	
Wed 25 Feb 2015 23:30	MP00106349	10.206	0.006	20.412	
Thu 26 Feb 2015 00:00	MP00106349	9.786	0	19.572	
Thu 26 Feb 2015 00:30	MP00106349	9.78	0.006	19.56	
Thu 26 Feb 2015 01:00	MP00106349	9.768	0	19.536	
Thu 26 Feb 2015 01:30	MP00106349	10.476	0.012	20.952	
Thu 26 Feb 2015 02:00	MP00106349	10.434	0	20.868	
Thu 26 Feb 2015 02:30	MP00106349	11.088	0.012	22.176	
Thu 26 Feb 2015 03:00	MP00106349	10.854	0	21.708	
Thu 26 Feb 2015 03:30	MP00106349	10.602	0	21.204	
Thu 26 Feb 2015 04:00	MP00106349	10.248	0	20.496	
