date	site_name	energy_used	reactive_energy_used	demand	alarms
22/02/2015 0:30	ACME Office Ground Level	2.484	0.15	4.977	
22/02/2015 1:00	ACME Office Ground Level	3.15	0.444	6.362	
22/02/2015 1:30	ACME Office Ground Level	2.916	0.486	5.912	
22/02/2015 2:00	ACME Office Ground Level	2.604	0.222	5.227	
22/02/2015 2:30	ACME Office Ground Level	2.352	0.156	4.714	
22/02/2015 3:00	ACME Office Ground Level	2.364	0.21	4.747	
22/02/2015 3:30	ACME Office Ground Level	2.592	0.444	5.26	
22/02/2015 4:00	ACME Office Ground Level	2.604	0.474	5.294	
22/02/2015 4:30	ACME Office Ground Level	2.49	0.342	5.027	
22/02/2015 5:00	ACME Office Ground Level	2.658	0.162	5.326	
22/02/2015 5:30	ACME Office Ground Level	2.364	0.138	4.736	
22/02/2015 6:00	ACME Office Ground Level	2.346	0.186	4.707	
22/02/2015 6:30	ACME Office Ground Level	2.574	0.402	5.21	
22/02/2015 7:00	ACME Office Ground Level	2.166	0.126	4.339	
22/02/2015 7:30	ACME Office Ground Level	1.884	0.006	3.768	
22/02/2015 8:00	ACME Office Ground Level	1.818	0.006	3.636	
22/02/2015 8:30	ACME Office Ground Level	2.52	0.042	5.041	
22/02/2015 9:00	ACME Office Ground Level	1.998	0.06	3.998	
22/02/2015 9:30	ACME Office Ground Level	1.908	0.018	3.816	
22/02/2015 10:00	ACME Office Ground Level	2.028	0.042	4.057	
22/02/2015 10:30	ACME Office Ground Level	2.19	0.024	4.38	
22/02/2015 11:00	ACME Office Ground Level	2.142	0.078	4.287	
22/02/2015 11:30	ACME Office Ground Level	2.196	0.156	4.403	
22/02/2015 12:00	ACME Office Ground Level	2.55	0.174	5.112	
22/02/2015 12:30	ACME Office Ground Level	2.076	0.06	4.154	
22/02/2015 13:00	ACME Office Ground Level	2.292	0.18	4.598	
22/02/2015 13:30	ACME Office Ground Level	2.622	0.132	5.251	
22/02/2015 14:00	ACME Office Ground Level	2.364	0.234	4.751	
22/02/2015 14:30	ACME Office Ground Level	2.478	0.294	4.991	
22/02/2015 15:00	ACME Office Ground Level	2.316	0.12	4.638	
22/02/2015 15:30	ACME Office Ground Level	2.298	0.072	4.598	
22/02/2015 16:00	ACME Office Ground Level	2.304	0.114	4.614	
22/02/2015 16:30	ACME Office Ground Level	2.376	0.276	4.784	
22/02/2015 17:00	ACME Office Ground Level	2.994	0.354	6.03	
22/02/2015 17:30	ACME Office Ground Level	2.298	0.216	4.616	
22/02/2015 18:00	ACME Office Ground Level	2.148	0.084	4.299	
22/02/2015 18:30	ACME Office Ground Level	2.166	0.12	4.339	
22/02/2015 19:00	ACME Office Ground Level	2.172	0.102	4.349	
22/02/2015 19:30	ACME Office Ground Level	2.334	0.288	4.703	
22/02/2015 20:00	ACME Office Ground Level	2.316	0.306	4.672	
22/02/2015 20:30	ACME Office Ground Level	2.196	0.192	4.409	
22/02/2015 21:00	ACME Office Ground Level	2.916	0.336	5.871	
22/02/2015 21:30	ACME Office Ground Level	2.538	0.342	5.122	
22/02/2015 22:00	ACME Office Ground Level	2.532	0.342	5.11	
22/02/2015 22:30	ACME Office Ground Level	3.27	0.438	6.598	
22/02/2015 23:00	ACME Office Ground Level	4.116	0.132	8.236	
22/02/2015 23:30	ACME Office Ground Level	3.984	0.036	7.968	
23/02/2015 0:00	ACME Office Ground Level	7.11	0.018	14.22	
23/02/2015 0:30	ACME Office Ground Level	10.65	0	21.3	
23/02/2015 1:00	ACME Office Ground Level	10.248	0	20.496	
23/02/2015 1:30	ACME Office Ground Level	10.41	0	20.82	
23/02/2015 2:00	ACME Office Ground Level	10.206	0	20.412	
23/02/2015 2:30	ACME Office Ground Level	10.11	0	20.22	
23/02/2015 3:00	ACME Office Ground Level	10.122	0	20.244	
23/02/2015 3:30	ACME Office Ground Level	10.146	0	20.292	
23/02/2015 4:00	ACME Office Ground Level	10.734	0	21.468	
23/02/2015 4:30	ACME Office Ground Level	10.536	0	21.072	
23/02/2015 5:00	ACME Office Ground Level	10.524	0	21.048	
23/02/2015 5:30	ACME Office Ground Level	10.686	0	21.372	
23/02/2015 6:00	ACME Office Ground Level	12.132	0.048	24.264	
23/02/2015 6:30	ACME Office Ground Level	12.186	0.24	24.377	
23/02/2015 7:00	ACME Office Ground Level	12.912	0.27	25.83	
23/02/2015 7:30	ACME Office Ground Level	11.118	0.09	22.237	
23/02/2015 8:00	ACME Office Ground Level	12.102	0.174	24.207	
23/02/2015 8:30	ACME Office Ground Level	23.502	7.926	49.605	
23/02/2015 9:00	ACME Office Ground Level	23.094	6.942	48.23	
23/02/2015 9:30	ACME Office Ground Level	20.952	5.634	43.393	
23/02/2015 10:00	ACME Office Ground Level	20.664	5.778	42.913	
23/02/2015 10:30	ACME Office Ground Level	20.91	5.436	43.21	
23/02/2015 11:00	ACME Office Ground Level	20.916	5.472	43.24	
23/02/2015 11:30	ACME Office Ground Level	23.55	6.108	48.658	
23/02/2015 12:00	ACME Office Ground Level	20.814	5.484	43.049	
23/02/2015 12:30	ACME Office Ground Level	22.596	5.682	46.599	
23/02/2015 13:00	ACME Office Ground Level	21.396	5.424	44.146	
23/02/2015 13:30	ACME Office Ground Level	21.276	5.61	44.006	
23/02/2015 14:00	ACME Office Ground Level	18.33	5.928	38.529	
23/02/2015 14:30	ACME Office Ground Level	18.48	5.646	38.646	
23/02/2015 15:00	ACME Office Ground Level	18.612	5.31	38.709	
23/02/2015 15:30	ACME Office Ground Level	19.884	5.46	41.24	
23/02/2015 16:00	ACME Office Ground Level	19.398	5.844	40.518	
23/02/2015 16:30	ACME Office Ground Level	12.972	1.938	26.232	
23/02/2015 17:00	ACME Office Ground Level	11.388	1.188	22.9	
23/02/2015 17:30	ACME Office Ground Level	11.73	1.596	23.676	
23/02/2015 18:00	ACME Office Ground Level	11.016	0.93	22.11	
